eft_id,description,normalized_description,company_id,company_name,alias,candidate_source,candidate_filter_score,fuzzy_score,vector_score,acronym_score,rule_score,final_score,risk_level,reason
EFT_00001,inv north sar trading limited,inv north sar trading limited,2,North Star Trading Limited,north star trading ltd,token_index,0.6,0.9091,0.6866,0.0,0.8,0.7005,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00001,inv north sar trading limited,inv north sar trading limited,2,North Star Trading Limited,north star trading limited,token_index,0.6,0.9091,0.6866,0.0,0.8,0.7005,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00001,inv north sar trading limited,inv north sar trading limited,2,North Star Trading Limited,north star trade ltd,token_index,0.6,0.8302,0.644,0.0,0.8,0.6483,No Match,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00002,inv sunrise logistics llc trf,inv sunrise logistics llc trf,4,Sunrise Logistics LLC,sunrise logistics llc,token_index,0.6,0.95,0.8433,0.0,1.0,0.778,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00002,inv sunrise logistics llc trf,inv sunrise logistics llc trf,4,Sunrise Logistics LLC,sunrise logistics,token_index,0.5,0.9,0.7251,0.0,1.0,0.7175,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00002,inv sunrise logistics llc trf,inv sunrise logistics llc trf,4,Sunrise Logistics LLC,sunrise log llc,token_index,0.6,0.855,0.658,0.0,1.0,0.6749,Low Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity orta seviyede bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
EFT_00003,Random Company ODEMESI,random company odemesi,5,Delta Export Incorporated,de,fuzzy_fallback,0.6,0.6,0.3161,0.0,0.0,0.3948,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
EFT_00003,Random Company ODEMESI,random company odemesi,8,Acme Corporation,a,fuzzy_fallback,0.6,0.6,0.2499,0.0,0.0,0.375,No Match,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik orta seviyede bulundu.
EFT_00003,Random Company ODEMESI,random company odemesi,8,Acme Corporation,acme corporation,fuzzy_fallback,0.4211,0.4211,0.442,0.0,0.0,0.3431,No Match,Aday şirket fuzzy fallback ile bulundu.
EFT_00004,TO North Star Trading Limited,to north star trading limited,2,North Star Trading Limited,north star trading ltd,token_index,0.6,0.95,0.9589,0.0,1.0,0.8127,Medium Risk,Aday şirket token index üzerinden bulundu. Yazımsal benzerlik yüksek bulundu. Vector similarity yüksek bulundu. Şirket adıyla ortak önemli tokenlar bulundu.
