eft_id,true_company_id
EFT_00001,2
EFT_00002,4
EFT_00003,-1
EFT_00004,2
EFT_00005,6
EFT_00006,1
EFT_00007,-1
EFT_00008,5
EFT_00009,4
EFT_00010,8
EFT_00011,8
EFT_00012,-1
EFT_00013,-1
EFT_00014,-1
EFT_00015,3
EFT_00016,6
EFT_00017,2
EFT_00018,6
EFT_00019,6
EFT_00020,8
EFT_00021,-1
EFT_00022,3
EFT_00023,2
EFT_00024,8
EFT_00025,6
EFT_00026,4
EFT_00027,8
EFT_00028,3
EFT_00029,1
EFT_00030,2
EFT_00031,7
EFT_00032,3
EFT_00033,5
EFT_00034,1
EFT_00035,4
EFT_00036,5
EFT_00037,-1
EFT_00038,5
EFT_00039,-1
EFT_00040,-1
EFT_00041,8
EFT_00042,7
EFT_00043,3
EFT_00044,-1
EFT_00045,8
EFT_00046,8
EFT_00047,3
EFT_00048,7
EFT_00049,2
EFT_00050,4
EFT_00051,8
EFT_00052,-1
EFT_00053,7
EFT_00054,-1
EFT_00055,2
EFT_00056,2
EFT_00057,5
EFT_00058,1
EFT_00059,-1
EFT_00060,4
EFT_00061,1
EFT_00062,7
EFT_00063,3
EFT_00064,7
EFT_00065,-1
EFT_00066,2
EFT_00067,3
EFT_00068,5
EFT_00069,1
EFT_00070,7
EFT_00071,-1
EFT_00072,8
EFT_00073,5
EFT_00074,6
EFT_00075,1
EFT_00076,8
EFT_00077,-1
EFT_00078,5
EFT_00079,-1
EFT_00080,5
EFT_00081,1
EFT_00082,6
EFT_00083,8
EFT_00084,7
EFT_00085,4
EFT_00086,3
EFT_00087,1
EFT_00088,-1
EFT_00089,-1
EFT_00090,-1
EFT_00091,8
EFT_00092,7
EFT_00093,2
EFT_00094,4
EFT_00095,4
EFT_00096,6
EFT_00097,3
EFT_00098,-1
EFT_00099,3
EFT_00100,6
EFT_00101,2
EFT_00102,8
EFT_00103,6
EFT_00104,5
EFT_00105,6
EFT_00106,3
EFT_00107,1
EFT_00108,4
EFT_00109,4
EFT_00110,5
EFT_00111,1
EFT_00112,4
EFT_00113,4
EFT_00114,3
EFT_00115,3
EFT_00116,6
EFT_00117,8
EFT_00118,3
EFT_00119,-1
EFT_00120,5
EFT_00121,6
EFT_00122,-1
EFT_00123,-1
EFT_00124,4
EFT_00125,-1
EFT_00126,-1
EFT_00127,-1
EFT_00128,7
EFT_00129,-1
EFT_00130,-1
EFT_00131,4
EFT_00132,-1
EFT_00133,8
EFT_00134,7
EFT_00135,7
EFT_00136,5
EFT_00137,1
EFT_00138,8
EFT_00139,3
EFT_00140,-1
EFT_00141,2
EFT_00142,4
EFT_00143,4
EFT_00144,1
EFT_00145,1
EFT_00146,8
EFT_00147,3
EFT_00148,7
EFT_00149,1
EFT_00150,-1
EFT_00151,7
EFT_00152,3
EFT_00153,6
EFT_00154,4
EFT_00155,1
EFT_00156,1
EFT_00157,3
EFT_00158,2
EFT_00159,4
EFT_00160,7
EFT_00161,6
EFT_00162,4
EFT_00163,8
EFT_00164,3
EFT_00165,2
EFT_00166,5
EFT_00167,4
EFT_00168,3
EFT_00169,6
EFT_00170,3
EFT_00171,3
EFT_00172,2
EFT_00173,3
EFT_00174,4
EFT_00175,6
EFT_00176,-1
EFT_00177,3
EFT_00178,8
EFT_00179,8
EFT_00180,2
EFT_00181,-1
EFT_00182,-1
EFT_00183,7
EFT_00184,-1
EFT_00185,6
EFT_00186,-1
EFT_00187,-1
EFT_00188,8
EFT_00189,7
EFT_00190,6
EFT_00191,-1
EFT_00192,8
EFT_00193,2
EFT_00194,8
EFT_00195,6
EFT_00196,3
EFT_00197,2
EFT_00198,6
EFT_00199,6
EFT_00200,4
EFT_00201,2
EFT_00202,3
EFT_00203,3
EFT_00204,5
EFT_00205,5
EFT_00206,8
EFT_00207,5
EFT_00208,8
EFT_00209,1
EFT_00210,-1
EFT_00211,-1
EFT_00212,6
EFT_00213,7
EFT_00214,5
EFT_00215,6
EFT_00216,-1
EFT_00217,-1
